Region,Year,Undernourishment,Population(m)
Africa ,2005,20.7,189900000
Africa ,2010,16.5,171000000
Africa ,2015,15.8,187400000
Africa ,2016,16.3,198000000
Africa ,2017,16.4,203500000
Africa ,2018,17,216800000
Africa ,2019,17.4,227500000
Africa ,2020,19.6,262800000
Africa ,2021,20.2,278000000
Asia,2005,13.9,552500000
Asia,2010,9.1,381500000
Asia,2015,8,356400000
Asia,2016,7.5,336200000
Asia,2017,7.1,320800000
Asia,2018,7.1,323100000
Asia,2019,7.4,339900000
Asia,2020,8.6,398200000
Asia,2021,9.1,424500000
Latin America & Caribbean,2005,9.3,51700000
Latin America & Caribbean,2010,6.6,39100000
Latin America & Caribbean,2015,5.8,35900000
Latin America & Caribbean,2016,6.7,42500000
Latin America & Caribbean,2017,6.4,40700000
Latin America & Caribbean,2018,6.6,42500000
Latin America & Caribbean,2019,6.7,43300000
Latin America & Caribbean,2020,8,52300000
Latin America & Caribbean,2021,8.6,56500000
Oceania ,2005,6.8,2300000
Oceania ,2010,6.2,2300000
Oceania ,2015,5.7,2300000
Oceania ,2016,5.8,2300000
Oceania ,2017,5.8,2400000
Oceania ,2018,5.7,2400000
Oceania ,2019,5.6,2300000
Oceania ,2020,5.4,2300000
Oceania ,2021,5.8,2500000
