Series,Year,Deaths
70+ years old,1990,16
70+ years old,1991,16
70+ years old,1992,17
70+ years old,1993,18
70+ years old,1994,19
70+ years old,1995,20
70+ years old,1996,20
70+ years old,1997,21
70+ years old,1998,21
70+ years old,1999,22
70+ years old,2000,23
70+ years old,2001,23
70+ years old,2002,22
70+ years old,2003,20
70+ years old,2004,19
70+ years old,2005,18
70+ years old,2006,18
70+ years old,2007,17
70+ years old,2008,16
70+ years old,2009,15
70+ years old,2010,15
70+ years old,2011,14
70+ years old,2012,14
70+ years old,2013,13
70+ years old,2014,13
70+ years old,2015,12
70+ years old,2016,12
70+ years old,2017,12
70+ years old,2018,12
70+ years old,2019,12
70+ years old,1990,13176
70+ years old,1991,13453
70+ years old,1992,13839
70+ years old,1993,14173
70+ years old,1994,14481
70+ years old,1995,14791
70+ years old,1996,15071
70+ years old,1997,15290
70+ years old,1998,15500
70+ years old,1999,15528
70+ years old,2000,15620
70+ years old,2001,15475
70+ years old,2002,15458
70+ years old,2003,15209
70+ years old,2004,15029
70+ years old,2005,14793
70+ years old,2006,14598
70+ years old,2007,14204
70+ years old,2008,13942
70+ years old,2009,13707
70+ years old,2010,13565
70+ years old,2011,13490
70+ years old,2012,13389
70+ years old,2013,13375
70+ years old,2014,13319
70+ years old,2015,13431
70+ years old,2016,13511
70+ years old,2017,13774
70+ years old,2018,13682
70+ years old,2019,13698
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,1
70+ years old,1993,1
70+ years old,1994,1
70+ years old,1995,1
70+ years old,1996,1
70+ years old,1997,1
70+ years old,1998,1
70+ years old,1999,1
70+ years old,2000,1
70+ years old,2001,1
70+ years old,2002,1
70+ years old,2003,1
70+ years old,2004,1
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,1
70+ years old,2008,1
70+ years old,2009,1
70+ years old,2010,1
70+ years old,2011,1
70+ years old,2012,1
70+ years old,2013,1
70+ years old,2014,1
70+ years old,2015,1
70+ years old,2016,1
70+ years old,2017,1
70+ years old,2018,1
70+ years old,2019,1
70+ years old,1990,38
70+ years old,1991,39
70+ years old,1992,42
70+ years old,1993,44
70+ years old,1994,47
70+ years old,1995,49
70+ years old,1996,51
70+ years old,1997,52
70+ years old,1998,54
70+ years old,1999,54
70+ years old,2000,54
70+ years old,2001,53
70+ years old,2002,50
70+ years old,2003,47
70+ years old,2004,44
70+ years old,2005,42
70+ years old,2006,40
70+ years old,2007,39
70+ years old,2008,37
70+ years old,2009,37
70+ years old,2010,36
70+ years old,2011,37
70+ years old,2012,37
70+ years old,2013,38
70+ years old,2014,39
70+ years old,2015,40
70+ years old,2016,41
70+ years old,2017,42
70+ years old,2018,44
70+ years old,2019,45
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,1
70+ years old,1993,1
70+ years old,1994,1
70+ years old,1995,1
70+ years old,1996,1
70+ years old,1997,1
70+ years old,1998,1
70+ years old,1999,1
70+ years old,2000,1
70+ years old,2001,1
70+ years old,2002,1
70+ years old,2003,1
70+ years old,2004,1
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,1
70+ years old,2008,1
70+ years old,2009,1
70+ years old,2010,1
70+ years old,2011,1
70+ years old,2012,1
70+ years old,2013,1
70+ years old,2014,1
70+ years old,2015,1
70+ years old,2016,1
70+ years old,2017,1
70+ years old,2018,1
70+ years old,2019,1
70+ years old,1990,0
70+ years old,1991,0
70+ years old,1992,0
70+ years old,1993,0
70+ years old,1994,0
70+ years old,1995,0
70+ years old,1996,0
70+ years old,1997,0
70+ years old,1998,0
70+ years old,1999,0
70+ years old,2000,0
70+ years old,2001,0
70+ years old,2002,0
70+ years old,2003,0
70+ years old,2004,0
70+ years old,2005,0
70+ years old,2006,0
70+ years old,2007,0
70+ years old,2008,0
70+ years old,2009,0
70+ years old,2010,0
70+ years old,2011,0
70+ years old,2012,0
70+ years old,2013,0
70+ years old,2014,0
70+ years old,2015,0
70+ years old,2016,0
70+ years old,2017,0
70+ years old,2018,0
70+ years old,2019,0
70+ years old,1990,510
70+ years old,1991,508
70+ years old,1992,504
70+ years old,1993,500
70+ years old,1994,490
70+ years old,1995,477
70+ years old,1996,457
70+ years old,1997,433
70+ years old,1998,413
70+ years old,1999,394
70+ years old,2000,382
70+ years old,2001,373
70+ years old,2002,361
70+ years old,2003,356
70+ years old,2004,356
70+ years old,2005,349
70+ years old,2006,348
70+ years old,2007,340
70+ years old,2008,340
70+ years old,2009,341
70+ years old,2010,344
70+ years old,2011,348
70+ years old,2012,351
70+ years old,2013,352
70+ years old,2014,349
70+ years old,2015,352
70+ years old,2016,362
70+ years old,2017,360
70+ years old,2018,363
70+ years old,2019,372
70+ years old,1990,2
70+ years old,1991,2
70+ years old,1992,2
70+ years old,1993,2
70+ years old,1994,2
70+ years old,1995,2
70+ years old,1996,2
70+ years old,1997,2
70+ years old,1998,2
70+ years old,1999,2
70+ years old,2000,2
70+ years old,2001,2
70+ years old,2002,2
70+ years old,2003,2
70+ years old,2004,2
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,2
70+ years old,2008,2
70+ years old,2009,1
70+ years old,2010,1
70+ years old,2011,1
70+ years old,2012,1
70+ years old,2013,1
70+ years old,2014,2
70+ years old,2015,2
70+ years old,2016,2
70+ years old,2017,2
70+ years old,2018,2
70+ years old,2019,2
70+ years old,1990,382
70+ years old,1991,417
70+ years old,1992,462
70+ years old,1993,503
70+ years old,1994,536
70+ years old,1995,610
70+ years old,1996,687
70+ years old,1997,829
70+ years old,1998,956
70+ years old,1999,1061
70+ years old,2000,1087
70+ years old,2001,1127
70+ years old,2002,1198
70+ years old,2003,1218
70+ years old,2004,1151
70+ years old,2005,1081
70+ years old,2006,1047
70+ years old,2007,1045
70+ years old,2008,987
70+ years old,2009,966
70+ years old,2010,970
70+ years old,2011,958
70+ years old,2012,944
70+ years old,2013,939
70+ years old,2014,930
70+ years old,2015,952
70+ years old,2016,981
70+ years old,2017,1000
70+ years old,2018,988
70+ years old,2019,1001
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,2
70+ years old,1993,2
70+ years old,1994,2
70+ years old,1995,2
70+ years old,1996,2
70+ years old,1997,2
70+ years old,1998,2
70+ years old,1999,2
70+ years old,2000,2
70+ years old,2001,2
70+ years old,2002,2
70+ years old,2003,2
70+ years old,2004,1
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,1
70+ years old,2008,0
70+ years old,2009,0
70+ years old,2010,0
70+ years old,2011,0
70+ years old,2012,0
70+ years old,2013,0
70+ years old,2014,0
70+ years old,2015,0
70+ years old,2016,0
70+ years old,2017,0
70+ years old,2018,0
70+ years old,2019,0
70+ years old,1990,37
70+ years old,1991,38
70+ years old,1992,42
70+ years old,1993,47
70+ years old,1994,52
70+ years old,1995,56
70+ years old,1996,61
70+ years old,1997,66
70+ years old,1998,71
70+ years old,1999,77
70+ years old,2000,81
70+ years old,2001,84
70+ years old,2002,89
70+ years old,2003,91
70+ years old,2004,94
70+ years old,2005,93
70+ years old,2006,93
70+ years old,2007,94
70+ years old,2008,95
70+ years old,2009,95
70+ years old,2010,97
70+ years old,2011,97
70+ years old,2012,98
70+ years old,2013,97
70+ years old,2014,102
70+ years old,2015,106
70+ years old,2016,111
70+ years old,2017,113
70+ years old,2018,118
70+ years old,2019,121
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,1
70+ years old,1993,1
70+ years old,1994,1
70+ years old,1995,1
70+ years old,1996,1
70+ years old,1997,1
70+ years old,1998,1
70+ years old,1999,1
70+ years old,2000,1
70+ years old,2001,1
70+ years old,2002,1
70+ years old,2003,1
70+ years old,2004,1
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,1
70+ years old,2008,1
70+ years old,2009,1
70+ years old,2010,1
70+ years old,2011,1
70+ years old,2012,1
70+ years old,2013,1
70+ years old,2014,1
70+ years old,2015,1
70+ years old,2016,1
70+ years old,2017,2
70+ years old,2018,2
70+ years old,2019,2
70+ years old,1990,3
70+ years old,1991,3
70+ years old,1992,3
70+ years old,1993,3
70+ years old,1994,3
70+ years old,1995,3
70+ years old,1996,3
70+ years old,1997,3
70+ years old,1998,3
70+ years old,1999,3
70+ years old,2000,3
70+ years old,2001,3
70+ years old,2002,3
70+ years old,2003,3
70+ years old,2004,3
70+ years old,2005,3
70+ years old,2006,3
70+ years old,2007,3
70+ years old,2008,3
