Country or region,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population
Austria,0.01,1000,"$55,806","8,879,939"
Slovenia,0.01,1000,"$39,034","2,112,905"
Singapore,0.01,1000,"$98,283","5,866,408"
Mongolia,0.01,1000,"$12,458","3,232,435"
Greece,0.01,1000,"$29,722","10,574,026"
Croatia,0.01,1000,"$29,353","4,129,749"
North Macedonia,0.02,2000,"$16,776","2,114,175"
Tajikistan,0.02,2000,"$3,575","9,337,008"
Moldova,0.02,2000,"$13,030","3,109,496"
Kuwait,0.02,2000,"$47,315","4,441,105"
Armenia,0.04,4000,"$14,318","2,820,604"
Bulgaria,0.04,4000,"$23,270","7,052,536"
Uzbekistan,0.04,4000,"$7,348","32,976,946"
Latvia,0.04,4000,"$31,039","1,916,552"
Finland,0.04,4000,"$48,583","5,521,539"
Estonia,0.04,4000,"$36,153","1,327,039"
Bosnia and Herzegovina,0.05,5000,"$14,635","3,360,718"
Lithuania,0.06,6000,"$37,184","2,849,083"
Ireland,0.08,8000,"$86,681","4,896,021"
Georgia,0.08,8000,"$14,989","3,770,814"
Malta,0.08,8000,"$45,434","503,646"
United Kingdom,0.09,9000,"$47,362","66,778,660"
Andorra,0.09,9000,,"76,361"
Slovakia,0.09,9000,"$31,973","5,453,932"
Serbia,0.09,9000,"$18,310","7,401,056"
Montenegro,0.09,9000,"$21,538","630,403"
Hungary,0.1,10000,"$32,649","9,771,799"
Russia,0.12,12000,"$27,255","145,742,288"
Turkmenistan,0.12,12000,"$14,993","6,158,424"
United Arab Emirates,0.12,12000,"$71,782","9,211,660"
Vietnam,0.12,12000,"$10,252","95,776,712"
Oman,0.12,12000,"$33,814","4,602,769"
Qatar,0.12,12000,"$90,840","2,807,242"
Ukraine,0.13,13000,"$12,805","44,211,100"
Kyrgyzstan,0.13,13000,"$5,258","6,323,643"
Monaco,0.13,13000,,"37,059"
Albania,0.14,14000,"$13,656","2,873,883"
New Zealand,0.14,14000,"$43,110","4,959,033"
Poland,0.15,15000,"$33,160","38,493,600"
San Marino,0.15,15000,"$60,076","34,203"
South Korea,0.17,17000,"$42,759","51,803,832"
Belarus,0.2,20000,"$19,279","9,673,971"
Iceland,0.21,21000,"$56,923","360,787"
Azerbaijan,0.22,22000,"$14,442","10,232,761"
Spain,0.23,23000,"$40,760","47,131,372"
Tunisia,0.23,23000,"$11,101","12,049,319"
Romania,0.23,23000,"$30,006","19,524,212"
Lebanon,0.25,25000,"$17,172","5,781,912"
Germany,0.26,26000,"$53,874","83,148,144"
Iraq,0.26,26000,"$10,299","41,563,524"
Australia,0.28,28000,"$49,379","25,357,168"
Italy,0.29,29000,"$42,739","59,727,936"
Iran,0.29,29000,"$14,084","86,564,208"
Bermuda,0.29,29000,"$81,682","63,833"
Taiwan,0.29,29000,,"23,777,742"
Cuba,0.3,30000,,"11,316,699"
Switzerland,0.31,31000,"$70,857","8,575,593"
Libya,0.32,32000,"$22,535","6,569,085"
Israel,0.32,32000,"$40,810","8,607,922"
Netherlands,0.33,33000,"$56,784","17,363,260"
Japan,0.33,33000,"$41,697","125,791,680"
Denmark,0.36,36000,"$56,814","5,795,879"
Algeria,0.37,37000,"$11,627","42,705,372"
Canada,0.37,37000,"$49,172","37,522,584"
Jordan,0.37,37000,"$9,551","10,698,682"
Cook Islands,0.37,37000,,"17,133"
Sweden,0.39,39000,"$52,851","10,267,922"
Brunei,0.41,41000,"$61,424","438,058"
Portugal,0.42,42000,"$34,946","10,289,921"
Costa Rica,0.42,42000,"$20,818","5,084,527"
Cyprus,0.47,47000,"$41,747","1,228,840"
Bhutan,0.51,51000,"$11,797","767,467"
Czechia,0.56,56000,"$40,990","10,536,876"
Kazakhstan,0.57,57000,"$26,352","18,754,260"
Palestine,0.58,58000,,"4,909,775"
Luxembourg,0.58,58000,"$114,543","619,981"
Saudi Arabia,0.61,61000,"$44,955","35,827,364"
Syria,0.66,66000,,"20,098,252"
Morocco,0.71,71000,"$8,218","36,304,408"
Norway,0.74,74000,"$64,385","5,348,285"
Sri Lanka,0.77,77000,"$13,639","21,649,664"
United States,0.89,89000,"$62,478","334,319,680"
Turkey,0.92,92000,"$28,150","83,481,688"
Thailand,0.99,99000,"$18,004","71,307,768"
Mauritius,1.05,105000,"$23,682","1,296,284"
Belgium,1.07,107000,"$51,977","11,510,569"
China,1.09,109000,"$15,978","1,421,864,064"
Bahrain,1.12,112000,"$49,769","1,494,195"
India,1.19,119000,"$6,609","1,383,112,064"
Puerto Rico,1.2,120000,"$34,793","3,292,888"
Malaysia,1.2,120000,"$27,674","32,804,024"
Barbados,1.24,124000,"$15,955","280,193"
Maldives,1.29,129000,"$20,574","504,518"
Greenland,1.33,133000,,"55,955"
Bahamas,1.45,145000,"$35,162","404,563"
Egypt,1.5,150000,"$11,181","105,618,672"
Palau,1.51,151000,"$17,605","17,939"
Trinidad and Tobago,1.54,154000,"$25,307","1,519,960"
North Korea,1.65,165000,,"25,755,442"
Uruguay,1.76,176000,"$23,257","3,428,412"
Guam,1.86,186000,,"168,632"
Jamaica,1.87,187000,"$10,244","2,813,776"
Seychelles,1.97,197000,"$29,370","104,386"
Venezuela,2.02,202000,,"28,971,686"
Bangladesh,2.04,204000,"$5,467","165,516,224"
France,2.12,212000,"$45,923","64,399,760"
Nigeria,2.28,228000,"$5,076","203,304,496"
Argentina,2.31,231000,"$22,072","44,745,516"
Sudan,2.35,235000,"$4,133","43,232,092"
Chile,2.36,236000,"$24,817","19,039,484"
Afghanistan,2.38,238000,"$2,080","37,769,496"
Dominica,2.38,238000,"$12,395","71,446"
Grenada,2.4,240000,"$15,394","122,737"
Cape Verde,2.44,244000,"$6,835","577,037"
United States Virgin Islands,2.49,249000,,"100,837"
Suriname,2.56,256000,"$18,449","600,305"
Colombia,2.66,266000,"$14,616","50,187,404"
Saint Lucia,2.86,286000,"$15,461","178,594"
Panama,2.89,289000,"$31,544","4,232,538"
Nicaragua,2.96,296000,"$5,349","6,663,919"
