Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Austria,0.01,1000,"$55,806","8,879,939",Europe
Slovenia,0.01,1000,"$39,034","2,112,905",Europe
Singapore,0.01,1000,"$98,283","5,866,408",Asia
Mongolia,0.01,1000,"$12,458","3,232,435",Asia
Greece,0.01,1000,"$29,722","10,574,026",Europe
Croatia,0.01,1000,"$29,353","4,129,749",Europe
North Macedonia,0.02,2000,"$16,776","2,114,175",Europe
Tajikistan,0.02,2000,"$3,575","9,337,008",Asia
Moldova,0.02,2000,"$13,030","3,109,496",Europe
Kuwait,0.02,2000,"$47,315","4,441,105",Asia
Armenia,0.04,4000,"$14,318","2,820,604",Asia
Bulgaria,0.04,4000,"$23,270","7,052,536",Europe
Uzbekistan,0.04,4000,"$7,348","32,976,946",Asia
Latvia,0.04,4000,"$31,039","1,916,552",Europe
Finland,0.04,4000,"$48,583","5,521,539",Europe
Estonia,0.04,4000,"$36,153","1,327,039",Europe
Bosnia ,0.05,5000,"$14,635","3,360,718",Europe
Lithuania,0.06,6000,"$37,184","2,849,083",Europe
Ireland,0.08,8000,"$86,681","4,896,021",Europe
Georgia,0.08,8000,"$14,989","3,770,814",Asia
Malta,0.08,8000,"$45,434","503,646",Europe
United Kingdom,0.09,9000,"$47,362","66,778,660",Europe
Andorra,0.09,9000,"$42,137.33","76,361",Europe
Slovakia,0.09,9000,"$31,973","5,453,932",Europe
Serbia,0.09,9000,"$18,310","7,401,056",Europe
Montenegro,0.09,9000,"$21,538","630,403",Europe
Hungary,0.1,10000,"$32,649","9,771,799",Europe
Russia,0.12,12000,"$27,255","145,742,288",Europe
Turkmenistan,0.12,12000,"$14,993","6,158,424",Asia
United Arab Emirates,0.12,12000,"$71,782","9,211,660",Asia
Vietnam,0.12,12000,"$10,252","95,776,712",Asia
Oman,0.12,12000,"$33,814","4,602,769",Asia
Qatar,0.12,12000,"$90,840","2,807,242",Asia
Ukraine,0.13,13000,"$12,805","44,211,100",Europe
Kyrgyzstan,0.13,13000,"$5,258","6,323,643",Asia
Monaco,0.13,13000,"$234,315.46","37,059",Europe
Albania,0.14,14000,"$13,656","2,873,883",Europe
New Zealand,0.14,14000,"$43,110","4,959,033",Australia
Poland,0.15,15000,"$33,160","38,493,600",Europe
San Marino,0.15,15000,"$60,076","34,203",Europe
South Korea,0.17,17000,"$42,759","51,803,832",Asia
Belarus,0.2,20000,"$19,279","9,673,971",Europe
Iceland,0.21,21000,"$56,923","360,787",Europe
Azerbaijan,0.22,22000,"$14,442","10,232,761",Asia
Spain,0.23,23000,"$40,760","47,131,372",Europe
Tunisia,0.23,23000,"$11,101","12,049,319",Africa
Romania,0.23,23000,"$30,006","19,524,212",Europe
Lebanon,0.25,25000,"$17,172","5,781,912",Asia
Germany,0.26,26000,"$53,874","83,148,144",Europe
Iraq,0.26,26000,"$10,299","41,563,524",Asia
Australia,0.28,28000,"$49,379","25,357,168",Australia
Italy,0.29,29000,"$42,739","59,727,936",Europe
Iran,0.29,29000,"$14,084","86,564,208",Asia
Bermuda,0.29,29000,"$81,682","63,833",N. America
Taiwan,0.29,29000,"$33,059.00","23,777,742",Asia
Cuba,0.3,30000,"$9,499.50","11,316,699",N. America
Switzerland,0.31,31000,"$70,857","8,575,593",Europe
Libya,0.32,32000,"$22,535","6,569,085",Africa
Israel,0.32,32000,"$40,810","8,607,922",Asia
Netherlands,0.33,33000,"$56,784","17,363,260",Europe
Japan,0.33,33000,"$41,697","125,791,680",Asia
Denmark,0.36,36000,"$56,814","5,795,879",Europe
Algeria,0.37,37000,"$11,627","42,705,372",Africa
Canada,0.37,37000,"$49,172","37,522,584",N. America
Jordan,0.37,37000,"$9,551","10,698,682",Asia
Sweden,0.39,39000,"$52,851","10,267,922",Europe
Brunei,0.41,41000,"$61,424","438,058",Asia
Portugal,0.42,42000,"$34,946","10,289,921",Europe
Costa Rica,0.42,42000,"$20,818","5,084,527",N. America
Cyprus,0.47,47000,"$41,747","1,228,840",Asia
Bhutan,0.51,51000,"$11,797","767,467",Asia
Czechia,0.56,56000,"$40,990","10,536,876",Europe
Kazakhstan,0.57,57000,"$26,352","18,754,260",Asia
Palestine,0.58,58000,"$3,663.97","4,909,775",Asia
Luxembourg,0.58,58000,"$114,543","619,981",Europe
Saudi Arabia,0.61,61000,"$44,955","35,827,364",Asia
Syria,0.66,66000,$533.39,"20,098,252",Asia
Morocco,0.71,71000,"$8,218","36,304,408",Africa
Norway,0.74,74000,"$64,385","5,348,285",Europe
Sri Lanka,0.77,77000,"$13,639","21,649,664",Asia
United States,0.89,89000,"$62,478","334,319,680",N. America
Turkey,0.92,92000,"$28,150","83,481,688",Asia
