Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Austria,0.01,1000,55806.00,8879939,Europe
Slovenia,0.01,1000,39034.00,2112905,Europe
Singapore,0.01,1000,98283.00,5866408,Asia
Mongolia,0.01,1000,12458.00,3232435,Asia
Greece,0.01,1000,29722.00,10574026,Europe
Croatia,0.01,1000,29353.00,4129749,Europe
North Macedonia,0.02,2000,16776.00,2114175,Europe
Tajikistan,0.02,2000,3575.00,9337008,Asia
Moldova,0.02,2000,13030.00,3109496,Europe
Kuwait,0.02,2000,47315.00,4441105,Asia
Armenia,0.04,4000,14318.00,2820604,Asia
Bulgaria,0.04,4000,23270.00,7052536,Europe
Uzbekistan,0.04,4000,7348.00,32976946,Asia
Latvia,0.04,4000,31039.00,1916552,Europe
Finland,0.04,4000,48583.00,5521539,Europe
Estonia,0.04,4000,36153.00,1327039,Europe
Bosnia ,0.05,5000,14635.00,3360718,Europe
Lithuania,0.06,6000,37184.00,2849083,Europe
Ireland,0.08,8000,86681.00,4896021,Europe
Georgia,0.08,8000,14989.00,3770814,Asia
Malta,0.08,8000,45434.00,503646,Europe
United Kingdom,0.09,9000,47362.00,66778660,Europe
Andorra,0.09,9000,42137.33,76361,Europe
Slovakia,0.09,9000,31973.00,5453932,Europe
Serbia,0.09,9000,18310.00,7401056,Europe
Montenegro,0.09,9000,21538.00,630403,Europe
Hungary,0.10,10000,32649.00,9771799,Europe
Russia,0.12,12000,27255.00,145742288,Europe
Turkmenistan,0.12,12000,14993.00,6158424,Asia
United Arab Emirates,0.12,12000,71782.00,9211660,Asia
Vietnam,0.12,12000,10252.00,95776712,Asia
Oman,0.12,12000,33814.00,4602769,Asia
Qatar,0.12,12000,90840.00,2807242,Asia
Ukraine,0.13,13000,12805.00,44211100,Europe
Kyrgyzstan,0.13,13000,5258.00,6323643,Asia
Monaco,0.13,13000,234315.46,37059,Europe
Albania,0.14,14000,13656.00,2873883,Europe
New Zealand,0.14,14000,43110.00,4959033,Australia
Poland,0.15,15000,33160.00,38493600,Europe
San Marino,0.15,15000,60076.00,34203,Europe
South Korea,0.17,17000,42759.00,51803832,Asia
Belarus,0.20,20000,19279.00,9673971,Europe
Iceland,0.21,21000,56923.00,360787,Europe
Azerbaijan,0.22,22000,14442.00,10232761,Asia
Spain,0.23,23000,40760.00,47131372,Europe
Tunisia,0.23,23000,11101.00,12049319,Africa
Romania,0.23,23000,30006.00,19524212,Europe
Lebanon,0.25,25000,17172.00,5781912,Asia
Germany,0.26,26000,53874.00,83148144,Europe
Iraq,0.26,26000,10299.00,41563524,Asia
Australia,0.28,28000,49379.00,25357168,Australia
Italy,0.29,29000,42739.00,59727936,Europe
Iran,0.29,29000,14084.00,86564208,Asia
Bermuda,0.29,29000,81682.00,63833,N. America
Taiwan,0.29,29000,33059.00,23777742,Asia
Cuba,0.30,30000,9499.50,11316699,N. America
Switzerland,0.31,31000,70857.00,8575593,Europe
Libya,0.32,32000,22535.00,6569085,Africa
Israel,0.32,32000,40810.00,8607922,Asia
Netherlands,0.33,33000,56784.00,17363260,Europe
Japan,0.33,33000,41697.00,125791680,Asia
Denmark,0.36,36000,56814.00,5795879,Europe
Algeria,0.37,37000,11627.00,42705372,Africa
Canada,0.37,37000,49172.00,37522584,N. America
Jordan,0.37,37000,9551.00,10698682,Asia
Sweden,0.39,39000,52851.00,10267922,Europe
Brunei,0.41,41000,61424.00,438058,Asia
Portugal,0.42,42000,34946.00,10289921,Europe
Costa Rica,0.42,42000,20818.00,5084527,N. America
