Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Austria,0.01,1000,55806.0,8879939,Europe
Slovenia,0.01,1000,39034.0,2112905,Europe
Singapore,0.01,1000,98283.0,5866408,Asia
Mongolia,0.01,1000,12458.0,3232435,Asia
Greece,0.01,1000,29722.0,10574026,Europe
Croatia,0.01,1000,29353.0,4129749,Europe
North Macedonia,0.02,2000,16776.0,2114175,Europe
Tajikistan,0.02,2000,3575.0,9337008,Asia
Moldova,0.02,2000,13030.0,3109496,Europe
Kuwait,0.02,2000,47315.0,4441105,Asia
Armenia,0.04,4000,14318.0,2820604,Asia
Bulgaria,0.04,4000,23270.0,7052536,Europe
Uzbekistan,0.04,4000,7348.0,32976946,Asia
Latvia,0.04,4000,31039.0,1916552,Europe
Finland,0.04,4000,48583.0,5521539,Europe
Estonia,0.04,4000,36153.0,1327039,Europe
Bosnia ,0.05,5000,14635.0,3360718,Europe
Lithuania,0.06,6000,37184.0,2849083,Europe
Ireland,0.08,8000,86681.0,4896021,Europe
Georgia,0.08,8000,14989.0,3770814,Asia
Malta,0.08,8000,45434.0,503646,Europe
United Kingdom,0.09,9000,47362.0,66778660,Europe
Andorra,0.09,9000,42137.3,76361,Europe
Slovakia,0.09,9000,31973.0,5453932,Europe
Serbia,0.09,9000,18310.0,7401056,Europe
Montenegro,0.09,9000,21538.0,630403,Europe
Hungary,0.10,10000,32649.0,9771799,Europe
Russia,0.12,12000,27255.0,145742288,Europe
Turkmenistan,0.12,12000,14993.0,6158424,Asia
United Arab Emirates,0.12,12000,71782.0,9211660,Asia
Vietnam,0.12,12000,10252.0,95776712,Asia
Oman,0.12,12000,33814.0,4602769,Asia
Qatar,0.12,12000,90840.0,2807242,Asia
Ukraine,0.13,13000,12805.0,44211100,Europe
Kyrgyzstan,0.13,13000,5258.0,6323643,Asia
Monaco,0.13,13000,234315.5,37059,Europe
Albania,0.14,14000,13656.0,2873883,Europe
New Zealand,0.14,14000,43110.0,4959033,Australia
Poland,0.15,15000,33160.0,38493600,Europe
San Marino,0.15,15000,60076.0,34203,Europe
South Korea,0.17,17000,42759.0,51803832,Asia
Belarus,0.20,20000,19279.0,9673971,Europe
Iceland,0.21,21000,56923.0,360787,Europe
Azerbaijan,0.22,22000,14442.0,10232761,Asia
Spain,0.23,23000,40760.0,47131372,Europe
Tunisia,0.23,23000,11101.0,12049319,Africa
Romania,0.23,23000,30006.0,19524212,Europe
Lebanon,0.25,25000,17172.0,5781912,Asia
Germany,0.26,26000,53874.0,83148144,Europe
Iraq,0.26,26000,10299.0,41563524,Asia
Australia,0.28,28000,49379.0,25357168,Australia
Italy,0.29,29000,42739.0,59727936,Europe
Iran,0.29,29000,14084.0,86564208,Asia
Bermuda,0.29,29000,81682.0,63833,N. America
Taiwan,0.29,29000,33059.0,23777742,Asia
Cuba,0.30,30000,9499.5,11316699,N. America
Switzerland,0.31,31000,70857.0,8575593,Europe
Libya,0.32,32000,22535.0,6569085,Africa
Israel,0.32,32000,40810.0,8607922,Asia
Netherlands,0.33,33000,56784.0,17363260,Europe
Japan,0.33,33000,41697.0,125791680,Asia
Denmark,0.36,36000,56814.0,5795879,Europe
Algeria,0.37,37000,11627.0,42705372,Africa
Canada,0.37,37000,49172.0,37522584,N. America
Jordan,0.37,37000,9551.0,10698682,Asia
Sweden,0.39,39000,52851.0,10267922,Europe
Brunei,0.41,41000,61424.0,438058,Asia
Portugal,0.42,42000,34946.0,10289921,Europe
